N°,Question,Fait rire,Réponse א,Réponse ב,Réponse ג,Réponse ד,Avis (garder / à revoir / supprimer),Ce qui ne va pas,Ta proposition
1,"Un dimanche parfait, c'est quoi ?",,"Une rando, partie tôt et sans plan","Rideaux fermés, série, personne",Un brunch qui s'éternise à trois,J'avance sur un truc à moi,,,
2,Tu arrives à une soirée où tu ne connais personne.,,Je vais vers le groupe le plus bruyant,Je prends un verre et j'observe,Je repère quelqu'un de seul et je vais lui parler,Je cherche celui qui organise,,,
3,Ton rapport au retard.,,Le temps est un concept,Pile à l'heure,"Un quart d'heure, c'est de la politesse","En avance, toujours",,,
4,"On t'offre un billet pour demain matin, destination inconnue.",,Je fais mon sac ce soir,"Je décline, ma semaine était prévue",Je pars si quelqu'un vient avec moi,Je demande d'abord où,,,
5,Le meilleur moment d'un repas de Shabbat.,,Les chants,La dvar Torah,Quand tout le monde parle en même temps,Quand on refait le monde jusqu'à 2h,,,
6,"Une décision importante, tu la prends…",,"Au feeling, tout de suite",Après avoir dormi dessus,Après en avoir parlé à trois personnes,Après avoir fait un tableau,,,
7,"Ton argent, tu préfères…",,Le dépenser en voyages,"Le garder de côté, ça rassure",L'offrir aux gens que j'aime,L'investir,,,
8,Ce qui te fatigue le plus.,,Ne rien faire,Le bruit,Les gens faux,Perdre mon temps,,,
9,Tu pars vivre ailleurs demain. Une seule chose dans la valise.,,"Ma guitare, mon appareil photo",Mes livres,Les photos de famille,Mon ordinateur,,,
10,"Dans un groupe, tu es plutôt…",,Celui qui propose,Celui qui écoute,Celui qui fait rire,Celui qui organise,,,
11,Ta relation à Shabbat.,,C'est social avant tout,Je déconnecte vraiment,C'est le repas et la famille,J'en profite pour réfléchir à ma semaine,,,
12,On dit de toi que tu es…,,Imprévisible,Loyal,Attachant,Déterminé,,,
13,Ta plus grande crainte.,,M'ennuyer,Perdre ceux que j'aime,Décevoir,Passer à côté de ma vie,,,
14,Le vrai signe que c'est la bonne personne.,,On ne s'ennuie jamais,Les mêmes valeurs,Je me sens enfin moi-même,Ça me tire vers le haut,,,
15,Ton premier geste quand quelqu'un te plaît.,,Je fonce,J'attends que l'autre ose,J'envoie un ami en éclaireur,Je me renseigne d'abord,,,
16,Le coup de foudre.,,Je ne fonctionne qu'à ça,"Ça existe, mais ça ne suffit pas",Ça m'est arrivé,Je n'y crois pas une seconde,,,
17,"Un premier rendez-vous réussi, ça finit…",,À 3h du matin sans voir le temps passer,Par un silence gênant assumé,Par un fou rire,Par un deuxième déjà calé,,,
18,Tu tombes amoureux…,,En une soirée,Au bout de quelques mois d'amitié,Quand on me surprend,Quand je vois comment la personne traite les autres,,,
19,Ce qui te toucherait le plus venant de quelqu'un.,,Un week-end surprise,Qu'il soit là un jour difficile,Une lettre,Qu'il croie à mon projet,,,
20,La rencontre idéale.,,"Dans un bar, par hasard",On se connaît depuis toujours et un jour ça bascule,Par des amis communs,Un shidduch bien pensé,,,
21,"Dans un couple, tu as besoin de…",,Bouger ensemble,Calme,Beaucoup se parler,Construire quelque chose,,,
22,"Le Yanuka, pour toi, c'est…",,Un rappeur,Un rav,Un bébé,Un whisky japonais,,,
23,Ce que tu cherches vraiment ce soir.,,"Une bande, des amis","Je ne sais pas, je suis venu voir",Rencontrer quelqu'un,Un partenaire de projet ou de voyage,,,
24,"La émouna, pour toi, c'est…",,Une question ouverte,Une certitude,Un sentiment,Un combat,,,
25,"Dans dix ans, tu te vois…",,"Ailleurs, je ne sais pas encore où","À peu près ici, mais plus serein",Avec une famille,Avec quelque chose que j'ai construit,,,
26,Ce qui te définit le mieux.,,Mes voyages,Mon histoire,Mes rencontres,Mes projets,,,
27,Le pardon.,,Je coupe,J'ai besoin de temps,Je pardonne vite,"Je pardonne, je n'oublie pas",,,
28,S'il te restait un an.,,Je pars,Je vis exactement pareil,Je rassemble tous ceux que j'aime,Je finis ce que j'ai commencé,,,
29,Ta mère t'appelle. Tu n'as pas rappelé depuis trois jours.,oui,"Je décroche, j'assume, je prends",Je laisse sonner et je culpabilise,"Je rappelle dans dix minutes, promis",J'envoie un message : « en réunion »,,,
30,Le vrai test d'un couple.,oui,Monter un meuble ensemble,Choisir un film,Un GPS et un rond-point,Partir en vacances avec les beaux-parents,,,
31,Combien de temps tiens-tu sans regarder ton téléphone ?,oui,Trente secondes,Cinq minutes,"Une heure, je suis fort",C'est quoi un téléphone,,,
32,Ton niveau réel en cuisine.,oui,Je reçois vingt personnes sans stresser,Je sais ouvrir des pâtes,Les pompiers ont mon numéro,Wolt est mon chef personnel,,,
33,On te dit « on mange à 20h ». Tu arrives à…,oui,"20h05, je suis quelqu'un de bien","20h45, c'est ça 20h","19h50, et je fais le tour du quartier","22h, et je m'étonne qu'il ne reste rien",,,
34,Le pire moment d'un mariage.,oui,Le plan de table,Le discours de l'oncle,La photo de groupe qui dure quarante minutes,L'addition,,,
35,Quelqu'un te plaît ce soir. Tu fais quoi ?,oui,"Je vais lui parler, direct",J'attends un signe du destin,J'envoie un ami en éclaireur,Je rentre chez moi et je regrette,,,
36,"Ton drapeau rouge, celui que tu assumes complètement.",oui,Je réponds aux messages trois jours après,Je suis toujours en retard,Je parle beaucoup. Beaucoup.,Je ne sais pas perdre,,,
